City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,cabo san lucas,22.8909,-109.9124,28.67,79,1,6.3,MX,1691497059
265,nyurba,63.2842,118.3319,21.52,60,0,3.05,RU,1691497156
266,severo-yeniseyskiy,60.3725,93.0408,17.35,79,75,1.6,RU,1691497156
267,rosarito,32.3333,-117.0333,20.54,75,3,1.3,MX,1691497157
268,kokubu-matsuki,31.7333,130.7667,27.74,94,75,6.71,JP,1691497157
269,les cayes,18.2,-73.75,28.57,80,51,1.77,HT,1691497157
270,la junta,37.985,-103.5438,18.37,82,100,5.14,US,1691497157
271,bondoukou,8.0333,-2.8,25.1,83,95,4.08,CI,1691497157
272,labrador city,52.9463,-66.9114,13.95,72,75,3.09,CA,1691497124
273,koryazhma,61.3143,47.1691,24.31,47,1,2.71,RU,1691497158
274,camiri,-20.05,-63.5167,10.88,76,0,0.0,BO,1691497158
275,saint-philippe,-21.3585,55.7679,23.77,77,48,5.14,RE,1691497158
276,bahia de caraquez,-0.6,-80.4167,24.1,87,97,2.66,EC,1691497158
277,anantapur,14.6833,77.6,31.96,43,100,7.36,IN,1691497159
278,basco,20.4487,121.9702,28.66,83,28,12.42,PH,1691497159
279,richards bay,-28.783,32.0377,26.21,42,0,3.68,ZA,1691497159
280,boysun,38.2061,67.1986,31.42,15,41,3.52,UZ,1691497159
281,coahuayana de hidalgo,18.7,-103.6583,25.56,81,16,1.59,MX,1691497159
282,brookings,44.3114,-96.7984,14.14,98,0,0.0,US,1691497160
283,portland,45.5234,-122.6762,17.64,89,0,0.0,US,1691496521
284,melekeok village,7.4957,134.6367,27.31,83,100,0.0,PW,1691497160
285,aurora,39.7294,-104.8319,16.84,83,20,4.63,US,1691496352
286,likhoslavl',57.1275,35.464,21.16,88,94,1.37,RU,1691497160
287,marysville,48.0518,-122.1771,17.42,89,75,0.0,US,1691497136
288,afaahiti,-17.75,-149.2833,21.93,80,73,4.47,PF,1691497160
289,zhaotong,27.3167,103.7167,19.43,87,80,1.86,CN,1691497161
290,turaif,31.6725,38.6637,36.14,9,0,4.12,SA,1691497161
291,dunedin,-45.8742,170.5036,6.0,72,91,5.36,NZ,1691497128
292,tercan,39.7794,40.3925,34.26,16,0,2.26,TR,1691497161
293,tver,56.8619,35.8931,21.64,87,94,1.19,RU,1691497161
294,mount isa,-20.7333,139.5,12.87,62,12,2.06,AU,1691497162
295,sisimiut,66.9395,-53.6735,8.66,62,86,0.84,GL,1691497162
296,muli,2.9167,73.5667,27.97,76,100,3.16,MV,1691497162
297,kenai,60.5544,-151.2583,12.27,95,100,3.6,US,1691497162
298,kingston,17.997,-76.7936,29.02,78,5,0.86,JM,1691497162
299,st. john's,47.5649,-52.7093,14.82,91,100,6.26,CA,1691497163
300,uturoa,-16.7333,-151.4333,25.49,77,82,2.15,PF,1691497163
